key	category	status	notes	en_source	ru_reference	zh	es	hi
mode_treatment	Mode name (title bar / menu)	reference (already translated)		Treatment	Лечение	治疗	Tratamiento	उपचार
tx_actions	Section header	NEEDS TRANSLATION		Actions	Действия			
tx_rhythm_log	Section header	NEEDS TRANSLATION		Rhythm & log	Ритм и журнал			
tx_change_rhythm	Section header	NEEDS TRANSLATION		Change rhythm	Смена ритма			
tx_event_log	Section header	NEEDS TRANSLATION		Event log	Журнал событий			
tx_status	Status header	NEEDS TRANSLATION	preserve placeholders {0}/{1} verbatim	Rhythm: {0}	Ритм: {0}			
tx_pending	Status indicator	NEEDS TRANSLATION		Effect in progress…	Эффект применяется…			
tx_pending_target	Status indicator	NEEDS TRANSLATION	preserve placeholders {0}/{1} verbatim; keep symbols (→ ⚠ ×)	→ {0} applying…	→ {0} применяется…			
tx_arrest_start_cpr	Cardiac-arrest banner	NEEDS TRANSLATION	SAFETY-CRITICAL: use correct clinical terminology; keep symbols (→ ⚠ ×)	⚠ Cardiac arrest — start CPR	⚠ Остановка кровообращения — начните СЛР			
tx_arrest_cpr_ongoing	Cardiac-arrest banner	NEEDS TRANSLATION	SAFETY-CRITICAL: use correct clinical terminology; keep symbols (→ ⚠ ×)	⚠ Cardiac arrest — CPR in progress	⚠ Остановка кровообращения — СЛР идёт			
tx_reason_defib_asystole	Clinical warning / block message	NEEDS TRANSLATION	SAFETY-CRITICAL: use correct clinical terminology	Defibrillation is not indicated for asystole	Дефибрилляция не показана при асистолии			
tx_reason_ront_sync	Clinical warning / block message	NEEDS TRANSLATION	SAFETY-CRITICAL: use correct clinical terminology; keep symbols (→ ⚠ ×)	R-on-T risk → VF: use synchronized cardioversion for pulsed VT	Риск R-на-T → ФЖ: при ЖТ с пульсом нужна синхронизированная кардиоверсия			
tx_reason_unsync_organized	Clinical warning / block message	NEEDS TRANSLATION	SAFETY-CRITICAL: use correct clinical terminology; keep symbols (→ ⚠ ×)	Unsynchronized shock on an organized rhythm risks R-on-T → VF — use synchronized cardioversion	Несинхронизированный разряд по организованному ритму — риск R-на-T → ФЖ; нужна синхронизированная кардиоверсия			
tx_reason_max_dose	Clinical warning / block message	NEEDS TRANSLATION	SAFETY-CRITICAL: use correct clinical terminology; preserve placeholders {0}/{1} verbatim	Maximum dose exceeded for {0} (limit {1} mg)	Превышена максимальная доза {0} (предел {1} мг)			
tx_reason_max_dose_generic	Clinical warning / block message	NEEDS TRANSLATION	SAFETY-CRITICAL: use correct clinical terminology	Maximum dose exceeded	Превышена максимальная доза			
tx_reason_adrenaline_cpr	Clinical warning / block message	NEEDS TRANSLATION	SAFETY-CRITICAL: use correct clinical terminology	Adrenaline needs CPR to be effective	Адреналин эффективен только на фоне СЛР			
