# condition_aliases.tsv  --  used by regroup_from_report.py
#
# The report Excel ("Справочник состояний") is the source of truth for condition -> group.
# A pathology title is a " + "-joined list of condition names; each part is looked up in
# the Excel by its English name. A few title parts are synonyms, typos, unresolved SNOMED
# codes or legacy wording that do NOT appear verbatim in the Excel. Map those parts here.
#
# Format (tab-separated), one per line:
#   <title component, lower-case>\t<group key>
# The group key must be one of the keys in the bundled groups.txt
# (sinus, arrhythmia, conduction, hypertrophy, ischemia, infarction,
#  electrolyte, syndromes, pacemaker, special, pediatric, newborn, pregnant, clinical).
#
# Lines starting with '#' and blank lines are ignored. Matching is case-insensitive
# and whitespace-normalised. Edit freely: entries here override / extend the Excel map.

# --- recurring variants (many records) ---
intraventricular block	conduction
left front bundle branch block	conduction
myocardial infraction in the side wall	infarction
mobitz type ii av block	conduction
67751000119106	hypertrophy

# --- parenthetical / spelling variants ---
atrial fibrillation (af)	arrhythmia
ventricular fibrillation (vf)	arrhythmia
sinus arrythmia	sinus
sinus atrium to atrial wandering rhythm	arrhythmia
electromechanical dissociation (emd)	arrhythmia

# --- rhythms not spelled the same as the Excel ---
idioventricular rhythm	arrhythmia
atrioventricular rhythm	arrhythmia
coronary sinus rhythm	arrhythmia
biventricular hypertrophy	hypertrophy

# --- pacemaker wording ---
atrial pacemaker	pacemaker
av sequental pacing	pacemaker
pacemaker: stimulation of the ventricles	pacemaker

# --- electrolyte / metabolic legacy titles ---
sinus rhythm during hypercalcemia	electrolyte
sinus rhythm during hypocalcemia	electrolyte
