# id	acronyms (comma-separated, primary first) — generated by build_rhythm_acronyms.py
ecg00001	1AVB
ecg00002	2AVB
ecg00003	2AVB
ecg00004	AVB,2AVB2
ecg00005	2AVB,2AVB2
ecg00006	3AVB
ecg00007	MI_ANT,SR
ecg00008	MI_ANTLAT,SR
ecg00009	MI_ANTSEP,SR
ecg00011	JEB
ecg00012	AF
ecg00013	AVNRT
ecg00014	SR
ecg00016	ARHY
ecg00018	AFIB
ecg00019	VFIB
ecg00020	VER
ecg00021	SR
ecg00022	SR
ecg00023	MI_ANTLAT,SR
ecg00024	MI
ecg00025	LAH,SR
ecg00026	APACE
ecg00027	APACE
ecg00028	APACE
ecg00029	SR
ecg00030	MI_INF_POST,SR
ecg00031	RAH,SR
ecg00032	SAB
ecg00033	SR
ecg00034	TWC,SR
ecg00035	SA
ecg00036	SQTI,SR
ecg00037	QTIE,SR
ecg00038	UW,SR
ecg00039	SR
ecg00040	STDD,SR
ecg00041	QTIE,SR
ecg00042	SR
ecg00043	SR
ecg00044	SR
ecg00045	LVH,SR
ecg00046	RVH,SR
ecg00047	WPW,SR
ecg00048	PVT
ecg00049	AT,WAVN
ecg00050	SVT
ecg00051	PVT
ecg00052	VFL
ecg00053	PVT
ecg00054	WAVN
ecg00055	TWO
ecg00056	WPW
ecg00057	TWC,AFIB,RBBB
ecg00058	TWC,SB
ecg00059	SB
ecg00060	STDD,AF,STTC
ecg00061	SB
ecg00062	TWC,AFIB
ecg00063	SR
ecg00064	SB
ecg00065	SB
ecg00066	LVH,SB
ecg00067	ST
ecg00068	1AVB,SB
ecg00069	ABI,SB,LVH
ecg00070	SB
ecg00071	STTC,AFIB
ecg00072	SB
ecg00073	RBBB,SB
ecg00074	TWO,SB,1AVB
ecg00075	SB
ecg00076	SR
ecg00077	SB
ecg00078	TWC,AFIB
ecg00079	TWC,ST
ecg00080	LAFB,SB,LVH,PWC
ecg00081	AQW,SB
ecg00082	APB,SB
ecg00083	AVB,AF
ecg00084	TWC,AFIB,VPB
ecg00085	SB
ecg00086	ST
ecg00087	SB
ecg00088	TWC,AFIB,VPB
ecg00089	AFIB
ecg00090	SB
ecg00091	AFIB,LVH,VPB
ecg00092	SB
ecg00093	AFIB
ecg00094	VPB,ST
ecg00095	SR
ecg00096	IDC,AFIB,LVH
ecg00097	STDD,SB,TWC
ecg00098	ST,LVQRSAL
ecg00099	STTC,AFIB,VPB
ecg00100	SR
ecg00101	AFIB
ecg00102	SB,ALS
ecg00103	AFIB
ecg00104	SR
ecg00105	STTC,AF,RBBB
ecg00106	SB
ecg00107	SB
ecg00108	SB
ecg00109	SB
ecg00110	ST
ecg00111	SR
ecg00112	STTC,ST
ecg00113	AFIB
ecg00114	SR
ecg00115	SB
ecg00116	SR
ecg00117	TWC,AFIB,LVH
ecg00118	SB
ecg00119	SB
ecg00120	STTC,AFIB,LVH
ecg00121	SR
ecg00122	AVB,AF,ARS
ecg00123	SR
ecg00124	STTC,AFIB,IDC,LVH
ecg00125	SR,ALS
ecg00126	LVH,SB
ecg00127	TWC,AFIB,ALS,VPB
ecg00128	SB
ecg00129	SR,ALS
ecg00130	SB,CCR
ecg00131	MI,MI_LAT,AFIB,IDC
ecg00132	SB
ecg00133	MI,AFIB,MI_LAT,STDD,TWC
ecg00134	STTC,AF
ecg00135	SB
ecg00136	LVH,SB
ecg00137	LVH,SB
ecg00138	AFIB
ecg00139	VPB,SB,LVH
ecg00140	SB
ecg00141	TWC,SB
