# id	acronyms (comma-separated, primary first) — generated by build_rhythm_acronyms.py
ecg00001	1AVB
ecg00004	2AVB2
ecg00006	3AVB
ecg00007	MI_ANT,SR
ecg00009	MI_ANTSEP,SR
ecg00014	SR
ecg00016	ARHY
ecg00020	VER
ecg00023	MI_ANTLAT,SR
ecg00025	LAH,SR
ecg00026	APACE
ecg00027	APACE
ecg00028	APACE
ecg00029	SR
ecg00030	MI_INF_POST,SR
ecg00032	SAB
ecg00033	SR
ecg00034	TWC,SR
ecg00035	SA
ecg00036	SQTI,SR
ecg00037	QTIE,SR
ecg00038	UW,SR
ecg00040	STDD,SR
ecg00041	QTIE,SR
ecg00044	SR
ecg00046	RVH,SR
ecg00047	WPW,SR
ecg00049	AT,WAVN
ecg00053	PVT
ecg00055	TWO
ecg00056	WPW
ecg00098	ST,LVQRSAL
ecg00179	1AVB,SB
ecg00220	ST
ecg00431	SB
ecg00524	AFIB,LVH,VPB
ecg00597	AFIB
ecg00654	SB
ecg00786	1AVB,ST,LAFB
ecg00816	ST
ecg00868	SB
ecg00881	SR
ecg00884	AFIB
ecg01011	AFIB
ecg01276	ST
ecg01420	SB
ecg01465	RBBB,SB
ecg01471	LVH,SR
ecg01540	AFIB
ecg01689	SB
ecg01781	AQW,SB,ALS,RBBB,TWC
ecg01791	TWC,SB,QTIE
ecg02046	SR
ecg02201	TWC,AFIB
ecg02345	AFIB,CCR
ecg02463	SB
ecg02472	STTC,AFIB
ecg02517	SB
ecg02554	AFIB,LVH
ecg02600	TWC,SB,LVH
ecg02719	ST
ecg02761	SR
ecg02868	SR
ecg03045	ST
ecg03052	AFIB,LVH
ecg03263	ST
ecg03282	SR
ecg03291	SB
ecg03469	SR
ecg03470	QTIE,AF
ecg03739	TWC,ST,LVH
ecg03775	LVH,SB
ecg03799	TWC,SB
ecg03847	STTC,ST
ecg03871	UW,AF,QTIE
ecg03880	TWC,SB
ecg04027	SB
ecg04111	AFIB
ecg04151	ST
ecg04195	LAFB,ST,CR,RBBB
ecg04269	IDC,AFIB
ecg04329	TWC,AFIB
ecg04415	SB
ecg04426	LVH,SB
ecg04427	ST
ecg04549	SB
ecg04551	SB
ecg04665	SR
ecg04734	ST
ecg04906	SB
ecg05170	LVH,SB
ecg05225	TWC,AFIB,FQRS
ecg05250	RBBB,AFIB
ecg05258	ST
ecg05288	ST
ecg05325	SB
ecg05342	ST
ecg05409	TWC,SB,PRIE
ecg05617	SB
ecg05621	SB
ecg05660	STTC,SR
ecg05937	LVH,SB
ecg05963	IDC,AFIB,ALS
ecg06032	SR,LVQRSAL
ecg06040	STTC,AFIB,LVH
ecg06127	STDD,ST,STTC,TWO,VPB
ecg06212	PRIE,SB
ecg06245	AFIB
ecg06584	SB
ecg06665	SB
ecg06715	IDC,AFIB,ALS
ecg06918	SR
ecg06949	TWC,SR,TWO
ecg06981	LVH,SB
ecg07118	SR
ecg07290	SB
ecg07400	SR
ecg07458	SB,CCR
ecg07599	SR
ecg07658	SB
ecg07696	SR
ecg07768	TWC,SB,LAFB
ecg07830	TWC,AFIB
ecg07847	SR,ALS
ecg08103	SB
ecg08210	ST
ecg08334	VPE,ST
ecg08816	SB
ecg08882	SB
ecg08921	LVH,SB
ecg08957	TWC,AFIB,IDC
ecg09046	VPE,AF
ecg09270	ST
ecg09310	AQW,AFIB
ecg09352	SR
ecg09418	LVH,SB
ecg09501	STDD,AFIB,STTC,TWC
ecg09542	SB,CCR
ecg09732	SVT
ecg09786	STDD,AT,LVH,TWC
ecg09857	STTC,SVT
ecg09898	RBBB,SVT,ARS,CR
ecg10019	SVT,ARS
ecg10026	SVT
ecg10077	SVT
ecg10239	TWC,SVT
ecg10309	TWO,TPW,ARS,ST,TWC,RAH
ecg10529	SB
ecg10629	STC,SA
ecg10641	SA
ecg10741	TWC,SR
ecg10750	SR,RWC
ecg10828	STC,ST
ecg10949	ST
ecg10993	ST
ecg11031	ST
ecg11057	ST
ecg11224	TWO,1AVB,CCR,TWC,APACE
ecg11329	AQW,1AVB,LVQRSAL,STDD,TWO,SB,CRBBB,SA
ecg11356	CRBBB,1AVB,SA,PPW
ecg11409	1AVB,ST,LAFB
ecg11413	1AVB,SB,ALS
ecg11416	TWO,SB,1AVB,ALS
ecg11420	TWC,SB,1AVB,ALS
ecg11552	STC,1AVB,LVH,SB,RWC
ecg11894	AQW,STTU,1AVB,STDD,TWO,SB
ecg11978	AQW,SR,1AVB,STC
ecg12059	STTU,1AVB,ST
