# Canonical ECG acronym taxonomy — GENERATED by tools/taxonomy-build/build_taxonomy.py.
# Do not edit by hand; edit the source tables under CardioSimulator/Docs/ and re-run.
# Columns: acronym  name_ru  group  section  subsection  subsection_title  alt_subsections  name_en
acronym	name_ru	group	section	subsection	subsection_title	alt_subsections	name_en
SR	Синусовый ритм	sinus	2	2.4.3	Определение источника ритма		Sinus Rhythm
ALS	Отклонение ЭОС влево	special	2	2.5.1	ЭОС. Повороты вокруг переднезадней оси		Axis left shift
ARS	Отклонение ЭОС вправо	special	2	2.5.1	ЭОС. Повороты вокруг переднезадней оси		Axis right shift
CCR	Поворот против часовой стрелки	special	2	2.5.2	Повороты вокруг продольной оси		countercolockwise rotation
CR	Поворот по часовой стрелке	special	2	2.5.2	Повороты вокруг продольной оси		colockwise rotation
PWC	Изменение зубца P	special	2	2.6	Анализ предсердного зубца P		P wave Change
RWC	Изменения зубца R	special	2	2.7.1	Анализ комплекса QRS		R wave changes
ST	Синусовая тахикардия	sinus	3	3.1.1	Синусовая тахикардия		Sinus Tachycardia
BRAD	Брадикардия	arrhythmia	3	3.1.2	Синусовая брадикардия / СССУ	4.1	Bradycardia
SB	Синусовая брадикардия	sinus	3	3.1.2	Синусовая брадикардия		Sinus Bradycardia
SA	Синусовая аритмия	sinus	3	3.1.3	Синусовая аритмия		Sinus Irregularity
AARR	Предсердная аритмия	arrhythmia	3	3.2	Эктопические (гетеротопные) ритмы		Atrial arrhythmia
ERHY	Эктопический ритм	arrhythmia	3	3.2	Эктопические (гетеротопные) ритмы		Ectopic rhythm
AEC	Предсердный выскальзывающий комплекс	arrhythmia	3	3.2.1	Медленные замещающие ритмы		Atrial escape complex
ARHY	Предсердный ритм	arrhythmia	3	3.2.1	Медленные замещающие ритмы		Atrial rhythm
JEB	Узловой выскальзывающий ритм	arrhythmia	3	3.2.1	Медленные замещающие ритмы		junctional escape beat
VEB	Желудочковый выскальзывающий ритм	arrhythmia	3	3.2.1	Медленные замещающие ритмы		ventricular escape beat
VER	Желудочковый выскальзывающий ритм	arrhythmia	3	3.2.1	Медленные замещающие ритмы		Ventricular escape rhythm
AIVR	Ускоренный идиовентрикулярный ритм	arrhythmia	3	3.2.2	Ускоренные эктопические ритмы		Accelerated idioventricular rhythm
AJR	Ускоренный узловой ритм	arrhythmia	3	3.2.2	Ускоренные эктопические ритмы		Accelerated junctional rhythm
AT	Предсердная тахикардия	arrhythmia	3	3.2.2	Ускоренные эктопические ритмы		Atrial Tachycardia
EAT	Эктопическая предсердная тахикардия	arrhythmia	3	3.2.2	Ускоренные эктопические ритмы		Ectopic atrial tachycardia
JT	Узловая тахикардия	arrhythmia	3	3.2.2	Ускоренные эктопические ритмы		Junctional tachycardia
VFW	ventricular fusion wave	special	3	3.2.2	Ускоренные эктопические ритмы		ventricular fusion wave
WAVN	Миграция ритма по АВ-узлу	arrhythmia	3	3.2.3	Миграция водителя ритма		Wandering in the atrioventricalualr node
ABI	Предсердная бигеминия	arrhythmia	3	3.3.1	Экстрасистолия		atrial bigeminy
APB	Предсердная экстрасистолия	arrhythmia	3	3.3.1	Экстрасистолия		atrial premature beats
BPAC	Блокированная предсердная экстрасистола	arrhythmia	3	3.3.1	Экстрасистолия		Blocked premature atrial contraction
JPT	Узловая экстрасистола	arrhythmia	3	3.3.1	Экстрасистолия		junctional premature beat
PVC	Желудочковая экстрасистолия	arrhythmia	3	3.3.1	Экстрасистолия		Premature ventricular contractions
SVPB	Наджелудочковая экстрасистолия	arrhythmia	3	3.3.1	Экстрасистолия		Supraventricular premature beats
VB	Желудочковая бигеминия	arrhythmia	3	3.3.1	Экстрасистолия		ventricular bigeminy
VET	Желудочковая выскальзывающая тригеминия	arrhythmia	3	3.3.1	Экстрасистолия		ventricular escape trigeminy
VPB	Желудочковая экстрасистолия	arrhythmia	3	3.3.1	Экстрасистолия		ventricular premature beat
AVNRT	АВ-узловая реципрокная тахикардия	arrhythmia	3	3.3.2	Пароксизмальная тахикардия (re-entry)		Atrioventricular  Node Reentrant Tachycardia
AVRT	АВ реципрокная тахикардия	arrhythmia	3	3.3.2	Пароксизмальная тахикардия (re-entry)		Atrioventricular Reentrant Tachycardia
PVT	Пароксизмальная ЖТ	arrhythmia	3	3.3.2	Пароксизмальная тахикардия		Paroxysmal ventricular tachycardia
SVT	Суправентрикулярная тахикардия	arrhythmia	3	3.3.2	Пароксизмальная тахикардия		Supraventricular Tachycardia
AF	Трепетание предсердий	arrhythmia	3	3.3.3	Трепетание предсердий		Atrial Flutter
AFIB	Фибрилляция предсердий	arrhythmia	3	3.3.4	Фибрилляция предсердий		Atrial Fibrillation
VFIB	Фибрилляция желудочков	arrhythmia	3	3.3.5	Трепетание и фибрилляция желудочков		Ventricular fibrillation
VFL	Трепетание желудочков	arrhythmia	3	3.3.5	Трепетание и фибрилляция желудочков		Ventricular flutter
BBB	Блокада ножки пучка Гиса	conduction	4	4.10	Блокады ножек и ветвей пучка Гиса		Bundle branch block
CLBBB	Полная блокада ЛНПГ	conduction	4	4.10	Блокады ножек и ветвей пучка Гиса		Complete left bundle branch block
CRBBB	Полная блокада ПНПГ	conduction	4	4.10	Блокады ножек и ветвей пучка Гиса		Complete right bundle branch block
IDC	Нарушение внутрижелуд. проводимости	conduction	4	4.10	Блокады ножек и ветвей пучка Гиса		Interior differences conduction
ILBBB	Неполная блокада ЛНПГ	conduction	4	4.10	Блокады ножек и ветвей пучка Гиса		Incomplete left bundle branch block
IRBBB	Неполная блокада ПНПГ	conduction	4	4.10	Блокады ножек и ветвей пучка Гиса		Incomplete right bundle branch block
LBBB	Блокада левой ножки пучка Гиса	conduction	4	4.10	Блокады ножек и ветвей пучка Гиса		left bundle branch block
RBBB	Блокада правой ножки пучка Гиса	conduction	4	4.10	Блокады ножек и ветвей пучка Гиса		right bundle branch block
LAFB	Блокада передней ветви ЛНПГ	conduction	4	4.10.1	Блокады одной ветви (однопучковые)		Left anterior fascicular block
LPFB	Блокада задней ветви ЛНПГ	conduction	4	4.10.1	Блокады одной ветви (однопучковые)		Left posterior fascicular block
SPRI	Укорочение интервала PR	special	4	4.11	Синдромы преждевременного возбуждения		Shortened PR interval
VPE	Преждевременное возбуждение желудочков	syndromes	4	4.11	Синдромы преждевременного возбуждения		ventricular preexcitation
WPW	Синдром WPW	syndromes	4	4.11.1	WPW-синдром	8.1	WPW
SAB	Синоатриальная блокада	conduction	4	4.2	Синоатриальная блокада II–III степени		Sinoatrial block
SARR	Остановка синусового узла	sinus	4	4.3	Остановка СА-узла (sinus arrest)		Sinus arrest
AVB	Атриовентрикулярная блокада	conduction	4	4.6	Атриовентрикулярные блокады		atrioventricular block
AVD	АВ-диссоциация	arrhythmia	4	4.6	АВ-блокады / re-entry	3.3	Atrioventricular dissociation
1AVB	АВ-блокада 1 степени	conduction	4	4.6.1	АВ-блокада I степени		1 degree atrioventricular block
PRIE	Удлинение интервала PR	conduction	4	4.6.1	АВ-блокада I степени		PR interval extension
2AVB	АВ-блокада 2 степени	conduction	4	4.6.2	АВ-блокада II степени (Мобитц I и II)		2 degree atrioventricular block
2AVB1	АВ-блокада 2 ст. (Мобитц I)	conduction	4	4.6.2	АВ-блокада II степени (Мобитц I)		2 degree atrioventricular block(Type one)
2AVB2	АВ-блокада 2 ст. (Мобитц II)	conduction	4	4.6.2	АВ-блокада II степени (Мобитц II)		2 degree atrioventricular block(Type two)
3AVB	АВ-блокада 3 степени (полная)	conduction	4	4.6.3	АВ-блокада III степени (полная)		3 degree atrioventricular block
LAE	увеличение левого предсердия	hypertrophy	5	5.1	Гипертрофия левого предсердия (P‑mitrale)		Left atrial enlargement
LAH	Гипертрофия левого предсердия	hypertrophy	5	5.1	Гипертрофия левого предсердия (P‑mitrale)		Left atrial hypertrophy
PPW	Удлинённый зубец P	special	5	5.1	Гипертрофия левого предсердия (P‑mitrale)		Prolonged P wave
RAE	увеличение правого предсердия	hypertrophy	5	5.2	Гипертрофия правого предсердия (P‑pulmonale)		Right atrial enlargement
RAH	Гипертрофия правого предсердия	hypertrophy	5	5.2	Гипертрофия правого предсердия (P‑pulmonale)		right atrial hypertrophy
TPW	Высокий зубец P	special	5	5.2	Гипертрофия правого предсердия (P‑pulmonale)		Tall P wave
LVH	Гипертрофия левого желудочка	hypertrophy	5	5.4	Гипертрофия левого желудочка (ГЛЖ)		left ventricle hypertrophy
LVQRSAL	Низкий вольтаж QRS (все отвед.)	special	5	5.4	ГЛЖ / ГПЖ (дифференциальный признак)	5.5	lower voltage QRS in all lead
RVH	Гипертрофия правого желудочка	hypertrophy	5	5.5	Гипертрофия правого желудочка (ГПЖ)		right ventricle hypertrophy
STC	Изменения сегмента ST	ischemia	6	6.1	ОКСпST / ОКСбпST	6.2	ST segment changes
STE	Элевация сегмента ST	ischemia	6	6.1	ОКС с подъёмом ST (ОКСпST)		ST extension
STTU	Подъём сегмента ST	ischemia	6	6.1	ОКС с подъёмом ST (ОКСпST)		ST tilt up
STDD	Депрессия сегмента ST	ischemia	6	6.2	ОКС без подъёма ST (ОКСбпST)		ST drop down
AAMI	Острый передний ИМ	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Acute anterior myocardial infarction
AMI	Острый инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Acute myocardial infarction
AQW	Патологический зубец Q	infarction	6	6.3	Топическая диагностика ИМ		abnormal Q wave
FQRS	Фрагментированный QRS (fQRS)	special	6	6.3	Топическая диагностика ИМ (рубцовые изменения)		fQRS Wave
MI	Инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		myocardial infarction
MI_ANT	Передний инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Anterior myocardial infarction
MI_ANTLAT	Передне-боковой инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Anterolateral myocardial infarction
MI_ANTLAT_OLD	Передне-боковой старый инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Old anterolateral myocardial infarction
MI_ANTLAT_RECENT	Передне-боковой недавний инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Recent anterolateral myocardial infarction
MI_ANTLAT_STEMI	Передне-боковой инфаркт миокарда с подъемом ST	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Anterolateral myocardial infarction with ST elevation
MI_ANTSEP	Передне-перегородочный инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Anteroseptal myocardial infarction
MI_ANTSEP_OLD	Передне-перегородочный старый инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Old anteroseptal myocardial infarction
MI_ANTSEP_RECENT	Передне-перегородочный недавний инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Recent anteroseptal myocardial infarction
MI_ANTSEP_STEMI	Передне-перегородочный инфаркт миокарда с подъемом ST	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Anteroseptal myocardial infarction with ST elevation
MI_ANT_OLD	Передний старый инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Old anterior myocardial infarction
MI_ANT_RECENT	Передний недавний инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Recent anterior myocardial infarction
MI_ANT_STEMI	Передний инфаркт миокарда с подъемом ST	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Anterior myocardial infarction with ST elevation
MI_INF	Нижний инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Inferior myocardial infarction
MI_INF_OLD	Нижний старый инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Old inferior myocardial infarction
MI_INF_POST	Нижний инфаркт миокарда с распространением на заднюю стенку	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Inferior myocardial infarction with posterior extension
MI_INF_POST_OLD	Нижний старый инфаркт миокарда с распр. на заднюю стенку	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Old inferior myocardial infarction with posterior extension
MI_INF_POST_RECENT	Нижний недавний инфаркт миокарда с распр. на заднюю стенку	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Recent inferior myocardial infarction with posterior extension
MI_INF_POST_STEMI	Нижний инфаркт миокарда с подъемом ST с распр. на заднюю стенку	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Inferior myocardial infarction with ST elevation and posterior extension
MI_INF_RECENT	Нижний недавний инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Recent inferior myocardial infarction
MI_INF_STEMI	Нижний инфаркт миокарда с подъемом ST	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Inferior myocardial infarction with ST elevation
MI_LAT	Боковой инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Lateral myocardial infarction
MI_LAT_OLD	Боковой старый инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Old lateral myocardial infarction
MI_LAT_RECENT	Боковой недавний инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Recent lateral myocardial infarction
MI_LAT_STEMI	Боковой инфаркт миокарда с подъемом ST	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Lateral myocardial infarction with ST elevation
MI_SEP	Перегородочный инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Septal myocardial infarction
MI_SEP_OLD	Перегородочный старый инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Old septal myocardial infarction
MI_SEP_RECENT	Перегородочный недавний инфаркт миокарда	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Recent septal myocardial infarction
MI_SEP_STEMI	Перегородочный инфаркт миокарда с подъемом ST	infarction	6	6.3	Топическая диагностика инфаркта миокарда		Septal myocardial infarction with ST elevation
STTC	Изменения ST-T	ischemia	6	6.3	Топическая диагностика ИМ		ST-T Change
TWC	Изменение зубца T	ischemia	6	6.3	Топическая диагностика ИМ		T wave Change
TWO	Инверсия зубца T	ischemia	6	6.3	Топическая диагностика ИМ		T wave opposite
UW	Зубец U	electrolyte	7	7.1.2	Гипокалиемия		U wave
QTIE	Удлинение интервала QT	syndromes	8	8.2	Синдромы удлинённого QT (LQTS)		QT interval extension
SQTI	Укорочение интервала QT	special	8	8.2	Синдром укороченного QT (SQTS)		Shortened QT interval
BRUG	Синдром Бругада	syndromes	8	8.3	Синдром Бругада		Brugada syndrome
ERV	Ранняя реполяризация желудочков	syndromes	8	8.4	Синдром ранней реполяризации (СРРЖ)		Early repolarization of the ventricles
APACE	Ритм ЭКС (искусственный)	pacemaker	10	10.2	Анализ ЭКГ с ЭКС		Artificial pacing rhythm
